step,s,e,i,q,r,d,total,total_infected
0,2473,0,27,0,0,0,2500,27
1,2452,21,27,0,0,0,2500,27
2,2433,40,27,0,0,0,2500,27
3,2418,55,25,2,0,0,2500,27
4,2407,66,25,2,0,0,2500,27
5,2404,69,15,12,0,0,2500,27
6,2403,70,10,17,0,0,2500,27
7,2403,70,5,22,0,0,2500,27
8,2403,70,2,25,0,0,2500,27
9,2416,49,8,26,0,1,2500,35
10,2421,36,16,26,0,1,2500,43
11,2409,41,23,26,0,1,2500,50
12,2398,47,28,26,0,1,2500,55
13,2376,68,23,32,0,1,2500,56
14,2369,75,16,39,0,1,2500,56
15,2358,86,11,44,0,1,2500,56
16,2355,89,6,27,22,1,2500,56
17,2352,92,1,29,25,1,2500,56
18,2353,86,6,28,26,1,2500,61
19,2355,76,14,28,26,1,2500,69
20,2357,68,19,28,26,2,2500,75
21,2351,63,28,30,26,2,2500,86
22,2336,73,30,33,26,2,2500,91
23,2325,80,25,42,26,2,2500,95
24,2314,89,22,42,31,2,2500,97
25,2308,95,15,39,41,2,2500,97
26,2305,98,10,38,47,2,2500,97
27,2306,92,11,36,53,2,2500,102
28,2302,89,15,39,53,2,2500,109
29,2309,75,21,39,54,2,2500,116
30,2307,68,28,41,54,2,2500,125
31,2294,70,35,45,54,2,2500,136
32,2279,78,37,50,54,2,2500,143
33,2258,92,37,52,59,2,2500,150
34,2244,106,30,53,65,2,2500,150
35,2236,111,25,53,73,2,2500,153
36,2235,111,16,55,81,2,2500,154
37,2230,111,15,54,87,3,2500,159
38,2233,106,17,48,93,3,2500,161
39,2233,97,21,51,95,3,2500,170
40,2232,89,26,55,95,3,2500,179
41,2216,92,36,58,95,3,2500,192
42,2202,98,38,58,101,3,2500,200
43,2187,109,37,56,107,4,2500,204
44,2169,122,32,59,114,4,2500,209
45,2153,136,20,66,121,4,2500,211
46,2143,142,18,61,132,4,2500,215
47,2141,137,19,59,139,5,2500,222
48,2129,142,20,59,145,5,2500,229
49,2129,129,33,57,147,5,2500,242
50,2118,126,44,59,148,5,2500,256
51,2109,124,47,65,150,5,2500,267
52,2104,122,45,70,154,5,2500,274
53,2090,124,47,77,157,5,2500,286
54,2080,128,40,82,164,6,2500,292
55,2065,141,34,82,172,6,2500,294
56,2055,138,33,80,187,7,2500,307
57,2045,141,33,78,195,8,2500,314
58,2044,134,34,82,198,8,2500,322
59,2040,130,37,81,202,10,2500,330
60,2028,133,37,85,206,11,2500,339
61,2026,128,37,89,209,11,2500,346
62,2020,126,37,88,217,12,2500,354
63,2006,131,40,88,223,12,2500,363
64,1997,134,36,88,233,12,2500,369
65,1994,131,32,83,247,13,2500,375
66,1992,127,32,79,257,13,2500,381
67,1989,122,33,80,263,13,2500,389
68,1983,116,36,80,272,13,2500,401
69,1975,118,36,77,280,14,2500,407
70,1967,119,34,84,282,14,2500,414
71,1958,112,44,78,294,14,2500,430
72,1941,120,43,82,299,15,2500,439
73,1926,128,40,84,307,15,2500,446
74,1915,133,42,80,315,15,2500,452
75,1900,143,39,77,326,15,2500,457
76,1898,139,32,86,330,15,2500,463
77,1896,133,29,88,339,15,2500,471
78,1889,132,30,86,348,15,2500,479
79,1884,130,32,84,355,15,2500,486
80,1879,126,34,86,360,15,2500,495
81,1874,125,34,88,364,15,2500,501
82,1868,125,31,87,374,15,2500,507
83,1869,120,27,83,386,15,2500,511
84,1862,122,24,84,392,16,2500,516
85,1855,121,26,82,400,16,2500,524
86,1848,123,25,75,413,16,2500,529
87,1837,125,25,73,423,17,2500,538
88,1827,125,32,67,431,18,2500,548
89,1820,123,36,67,436,18,2500,557
90,1807,127,42,64,442,18,2500,566
91,1795,132,41,67,447,18,2500,573
92,1785,139,32,72,454,18,2500,576
93,1775,146,28,72,461,18,2500,579
94,1769,143,26,77,466,19,2500,588
95,1756,145,30,73,477,19,2500,599
96,1749,140,39,69,484,19,2500,611
97,1738,140,44,69,489,20,2500,622
98,1720,146,47,74,493,20,2500,634
99,1717,142,48,74,498,21,2500,641
